time,temp
12.76,2025-04-04 02:55:14
13.76,2025-04-04 03:45:19
13.76,2025-04-04 03:55:30
14.76,2025-04-04 04:40:08
14.76,2025-04-04 04:52:25
14.76,2025-04-04 05:37:21
14.76,2025-04-04 05:47:39
14.76,2025-04-04 05:57:34
14.76,2025-04-04 06:48:06
14.76,2025-04-04 06:57:58
14.76,2025-04-04 07:30:01
14.76,2025-04-04 07:43:06
14.76,2025-04-04 07:53:24
13.76,2025-04-04 08:42:41
13.76,2025-04-04 08:55:15
11.76,2025-04-04 09:33:24
11.76,2025-04-04 09:44:27
11.76,2025-04-04 09:54:19
9.76,2025-04-04 10:40:21
9.76,2025-04-04 10:50:33
7.76,2025-04-04 11:26:18
7.76,2025-04-04 11:41:37
7.76,2025-04-04 11:51:55
10.28,2025-04-04 13:16:54
5.76,2025-04-04 13:44:29
5.76,2025-04-04 13:54:17
7.76,2025-04-04 14:38:34
7.76,2025-04-04 14:48:33
7.76,2025-04-04 14:58:35
7.76,2025-04-04 15:37:56
7.76,2025-04-04 15:50:58
7.76,2025-04-04 16:43:37
7.76,2025-04-04 16:55:19
6.76,2025-04-04 17:32:32
6.76,2025-04-04 17:42:48
6.76,2025-04-04 17:52:53
7.76,2025-04-04 18:44:31
7.76,2025-04-04 18:54:29
7.78,2025-04-04 19:24:41
7.76,2025-04-04 19:38:59
7.76,2025-04-04 19:49:14
7.76,2025-04-04 19:59:24
7.76,2025-04-04 20:34:23
7.76,2025-04-04 20:45:28
7.76,2025-04-04 20:55:43
7.76,2025-04-04 21:28:48
7.76,2025-04-04 21:40:35
7.76,2025-04-04 21:50:55
8.76,2025-04-04 22:35:00
8.76,2025-04-04 22:45:04
8.76,2025-04-04 22:55:01
7.76,2025-04-04 23:28:46
7.76,2025-04-04 23:41:07
7.76,2025-04-04 23:51:22
7.76,2025-04-05 03:04:47
7.76,2025-04-05 03:48:45
7.76,2025-04-05 03:58:40
7.76,2025-04-05 04:38:28
7.76,2025-04-05 04:50:34
7.76,2025-04-05 05:33:54
7.76,2025-04-05 05:44:00
7.76,2025-04-05 05:53:55
7.76,2025-04-05 06:42:21
7.76,2025-04-05 06:52:35
11.17,2025-04-05 07:25:43
7.76,2025-04-05 07:39:55
7.76,2025-04-05 07:49:48
7.76,2025-04-05 07:59:39
7.76,2025-04-05 08:38:13
7.76,2025-04-05 08:49:30
7.76,2025-04-05 08:59:45
7.76,2025-04-05 09:30:04
7.76,2025-04-05 09:40:22
7.76,2025-04-05 09:50:41
7.76,2025-04-05 10:36:02
7.76,2025-04-05 10:46:07
7.76,2025-04-05 10:56:16
7.76,2025-04-05 11:23:58
7.76,2025-04-05 11:38:06
7.76,2025-04-05 11:48:15
7.76,2025-04-05 11:58:09
7.76,2025-04-05 13:03:00
7.76,2025-04-05 13:34:17
7.76,2025-04-05 13:44:22
7.76,2025-04-05 13:54:41
7.76,2025-04-05 14:31:24
7.76,2025-04-05 14:41:52
7.76,2025-04-05 14:52:06
7.89,2025-04-05 15:28:35
6.76,2025-04-05 15:40:28
6.76,2025-04-05 15:50:34
6.76,2025-04-05 16:40:09
6.76,2025-04-05 16:50:43
6.76,2025-04-05 17:29:21
6.76,2025-04-05 17:41:35
6.76,2025-04-05 17:51:44
7.76,2025-04-05 18:39:04
7.76,2025-04-05 18:49:09
7.76,2025-04-05 18:59:10
6.76,2025-04-05 19:22:06
6.76,2025-04-05 19:37:22
6.76,2025-04-05 19:47:32
6.76,2025-04-05 19:57:34
6.76,2025-04-05 20:30:36
6.76,2025-04-05 20:41:58
6.76,2025-04-05 20:52:28
5.76,2025-04-05 21:27:08
5.76,2025-04-05 21:39:10
5.76,2025-04-05 21:49:25
5.76,2025-04-05 21:59:31
5.76,2025-04-05 22:35:09
5.76,2025-04-05 22:45:00
5.76,2025-04-05 22:55:11
7.76,2025-04-05 23:29:04
7.76,2025-04-05 23:40:28
6.76,2025-04-05 23:50:17
12.67,2025-04-06 03:10:20
13.76,2025-04-06 03:51:08
13.76,2025-04-06 04:43:08
13.76,2025-04-06 04:54:45
13.76,2025-04-06 05:32:42
13.76,2025-04-06 05:42:39
13.76,2025-04-06 05:53:05
13.76,2025-04-06 06:47:17
13.76,2025-04-06 06:57:11
13.71,2025-04-06 07:26:27
